Year;Borrowings;Other;Total_non_current_liabilities;Total_liabilities;Equity;Equity_and_Liabilities;;check1;check2;check3;;
2017;229;150;379;566;544;1110;;0;0;0;;
2018;217;147;364;540;540;1080;;0;0;0;;
2019;202;175;377;576;563;1139;;0;0;0;;
2020;209;187;396;588;575;1163;;0;0;0;;
2021;211;175;386;620;615;1235;;0;0;0;;
2022;189;190;378;616;670;1286;;1;0;0;;
2023;199;195;394;626;662;1288;;0;0;0;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;+
